t_sim,n_shi,n_fast,lap_var,klt_surv,klt_err_px
0.000,0,0,0.0,,
5.452,249,704,6195.9,0.783,0.175
7.452,197,620,6489.5,1.000,0.000
9.452,197,620,6489.5,1.000,0.000
11.452,220,626,6512.5,0.982,0.031
13.452,201,563,6103.0,0.955,0.039
15.452,225,591,6566.6,0.964,0.033
17.452,190,534,6405.5,0.963,0.043
19.452,155,445,3830.2,0.968,0.041
21.452,175,343,1669.5,0.977,0.030
23.452,141,193,485.1,0.950,0.027
25.452,266,173,278.8,0.936,0.040
27.452,284,156,263.8,0.919,0.037
29.452,271,160,272.6,0.919,0.038
31.452,305,165,270.8,0.938,0.040
33.454,229,174,261.2,0.934,0.036
35.454,318,157,256.9,0.959,0.041
37.454,272,180,284.9,0.941,0.040
39.454,127,303,2768.1,0.984,0.031
41.454,97,369,3760.1,1.000,0.037
43.454,144,431,4016.1,0.986,0.037
45.454,151,456,4338.8,0.967,0.028
47.454,169,529,4433.0,0.976,0.031
49.454,124,413,2738.7,0.968,0.033
51.454,140,321,1209.4,0.971,0.022
53.454,180,341,1020.1,0.983,0.028
55.454,131,276,708.8,0.992,0.032
